,w0,w2
29,1,KGKTUZBY NPZZG OÅÅKE TQÅGOOQZUG QXQJOQN OZÅYEKEOGN OROFPT QVÅGOG XQZPZNG
58,2,TVUUVMUUJ WFFLJ FMFSWVTUJFO UFFTUJ OAEJÖ LFJMZO BJEFLTB WBMMBT WPNVLBBWJBB VTTJPO SATTJAU
116,4,DCWGDPY ÅCYAZY AJJY LABLXLBTY BCXLAALWDC DPÖSLLSTY WLXCAPÖPA ÅTVJ ÖPTXLAAZ
232,8,IDENY YDÄUEZJ WMEZUM KQ OÅÄÅW XENUQTASLVÖ XQHÖAFALMASV OPBÄIYDVDÖA
290,10,YWSÄ XOOD EMÄÄJE EFÖÄOOÄ XSYOWÄ VSZYWÅWM ÖÄSSDDODES GFÖÅÅOOÄ ZOÅAOOÄWOOEEO
348,12,MYBHMJ RMPYÅ PLIQN ÖLJI UJÖD OÅÄHJL ULTI ZÅNNYBCA ÅJFQZDVD ISIV RAPÖIÖLK NMX
377,13,UWWTKOOCP QUCP KJOKUMWPPCP JKUVQTKCUVC JGPMKNBMQJVCKPGP XCNKPPCPXCTC QP QNNWV TCLCVVWC
406,14,DTTXP DTTVVZTYL DJVTDLWBLTAPVAT XCCBBCYPPB XTPWPYZAZTBCVAPB DLTVCBBTDLB WLCLYBLTYL ÅJTDJWWJ ÖLCSZTBBCYPPY
435,15,ESSADMM XOOEO OEOGSYYO ÅMMDWZMWZZM VOÄSCWEESFD TOYMWZSEESÄEOÅÅM SVEOOÄ XÖEÖZZÖDÖWÄ OÄYOXOWÄ ZÖZZWÅW DSDÖEEW
464,16,NXDÅSBE RIFÄQYDTO OBKJÅLTTC MÅYGÄCEKA LGIXU RÄFEYXPCPJF DP HÖEMFSYJPRGÖQ WDMF
580,20,CYJKLLJYYJKYE YÖBBUKJU JULILFCCU JFKKUMYE UÖCCÖ LLCMU GFBBU ÄUÄXF GYJFÖBBUKBUE CLE JUEEUCÖUMU
638,22,ÄHBAÅQQ XOEÅPYCYYF CHÖCUÅÅQY BTUYA YÄÄYQ XHFUGQGGBY ÅHÄUFUGGQ YEGYCBFGQ ÅQÅFUAGUFGOO CHIQ
667,23,FYHHP GPJIOODD EWWQDI MWWQDI NDNYYI CJIOPFPOOJGPY KYFÖI KDÖFTOYFNDO CDMTCÄÖNOW
696,24,DKOPZ PAPZNKJZ IZDQP AGOX ZOPZ OAHHAAPKEHEP KPKOKDPEJ PZEGOAOPXEJJAOE LZPOZZ OKEPZOHAZP GZEDNKEGOZ DZHHEAHA
725,25,VGMKLAV UCKXCV WJTKP MGTVQOCCP RCPMMKMQTVVKPUC VWPPWUNWXWP UGMA RCPMMKVKNKPUA MAÅVVALAVWPPWMUGP LC UCNCUCPCP
754,26,VU PNPOPP MKPRNWWQC VUPUGUCK VCPCCVCPÅPAC QVCCLGQ VMV CCV MGVNQNGQW KCPW
812,28,DPYGYP GZAÖXÅÄAYP AÖ PÅZGHXXZAEFP FTWSKÖ TÖÖGEFTTÖ ÄGZPPÖ ÅGHPEEP ZTEZXHXXZAZEX ZPPZAEEP EXYPXFETHXXÖ ÄPPZGÖFXXÖ
841,29,OAHZHEAJZ OAXHIUGOAO OAPZP FQKGOK PULXP PXXJ KÖQOQPZJ AHHQDZ OAGAPAGOZ OEEHKP OZHKEOZ
928,32,ROL LMNWDUWGW ÅB GL IBWNMLD EGHWO HBLHBMEWO DAÅ BWDGLMHGFW GGWGBE
957,33,SSFÅUOGUZFK HNEFÄX XIÄJOOÅS RJWRM EÄGCOWGJBW JSVGO VHBSYGP QVUARCTOI BÅEM
1015,35,WÖÅZÄQQIVDIÅ ÅVQÄÅITMP UÖÖ ÅTIMT TVTÄÖÅ QÅU ÖVTTMM WMWMPÅ GÄÅ UÖGXIWUG ÄITÅVQ
1073,37,ÖD SYÖ UÖJTFJMÖU DJÖYCSYDFKCPCF JÖUE ÖKPKÄ CSUÄEÖU YDFYSJBÄKECU YGSAÖGGLEÖE ACKBKUUK EEPJX
1102,38,WHBAHCWDVÖÖÄ LTYSFM ÖH CIZÖSÄMMNPWÅDF MMGCPGGM YAEXKWDÅ LII ÅAEÅHWKANÅ
1160,40,JNQZ HNEGNZOHQOHYPXHO AHZPZGER ZAPJEAUHGR EPQQZOHEJ JZ YNZNAUHG FOZOJ EJH
1189,41,BTÅPEFGEYAGZAF AHPF TFEXÖTTF ZPFTXEEP AÅÅTXFP XWÄXEXN ÄKDEZKÖ PXWTGFFPÄPÖ ÄPPÖHKODKÖ PÅFP
1218,42,APWS GTQYJ SÅXPVEJUÄÄU OCYAV KDJ XOTSYPBG ZNSLZIYRVF SRCEYFY
1247,43,PEU XBGZIP HÖSOQT OWSÖVF ÅOOP IFFAXTCFÖOSGMÄFY ÖIFLAO CQÅC POOH SUÅHTT
1276,44,ROPULV UÄFYSZLZK HÅFZULLV ÅQFZK LOHYZPSFÅS ÅÖLSPP LZÖZ ZFÄY OLPWUÖUOHH TÅFLHUSS ORPZWFSZQ
1305,45,AWTMM ÄIÄÄMÄQ ÄGÅÄQQV ÅIVIÅÄQQV RIRMMVQV SMMAWQPÄI ÅWSSÖÅMVM UQÅÅÖ VÖÖÄ ÖSWQVWVVWV TIZAI
1334,46,GFZOADWOO ÅFÖDFGS YSSRÖÅO ENWEMÄ DSDODOO ÄSZXO ÖÅFWÄ EOÅSSZZWWGWZZWO ENESSDDM
1363,47,QHZÅPTHH RVPU ÅLÅÅPU ÖLZPSHÅHHU LRLRZVÖÄUHU SGULLU FFSRCSHPU ÅÄPZÅÄ SVPOÅVU ZFÅFUUF LZÅVRRHZ
1392,48,PBK ÅIIFIIÅQLF ERHRRPQÅ MFK SÅJBK EÅÅSLOQÅ MRLKKFBPQÅK HBKÅQHRPQÅ PÅÅIGRLJÅ QYOBIFBHPF QBPLK
1421,49,ÅOKBWVS IRAXDVDU HPHIYIJRÄPIÄWO KHEZ SPNRFMVS HCMKÅXHOT JHÖÖKHCS ZSEQWSJUNWÄWRPW ÖDA RÖVIÅ
1450,50,MSSNNVDV PXXNCC PVBCHNVVH POIÅÄH ÄBÅINIHNX PXHEÄOMLXHAXCMNOMNX LXBNCXFOEMÄH EXJNÄÄHCFFÄ NWLEÄVMNV PÄLIJÄNIEMÄMNX
1508,52,AUOLL BÖWWG JFZUOXYBEÄYTEÅ ETGVÄYÖWDN RZSSOXVMH WZ OTEKMSD DOL WCQXKII PQO
1595,55,WLMBGNGHBLLÅ EWMWBG CHBMMW DÅWMLNEBLBVG LNG EHLLÅM GÅIU HDLHMMW IÅLWMMWBIWG FULMBLWWG
1682,58,GNUHNHJDTCDRRÖ UÖKDKÅÅJÅQHM SDLOÖTJRHRSÖ JTMMÖKKD ÖHGDTSTMDDS SÖKNTCDKKHRDS UÖGHMFNS ÖQUHNHSHHM NCNSDSSTÖ OHDMDLLHJRH
1711,59,FMZW MRUEFUÖ XM TVAY ARÖQTAJ EYRFKYUOTRD ZRZBSXÖQ MFÅ
