w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,summa
0,0,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,YMNWCHÖJEIEG,HYOFYOY,FDIGQYIPIIJHG,OYOOYMD,QWNTITO,FÖNFPNGDDOOJ,DDFNP,IDHDFÖ,JWOIPNIC,DKDYKD,0,0,0,0,0,0,0,0,0
0,1,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,XLMVBGÄIDHDF GXNEXNX ECHFPXHOHHIGF NXNNXLC PVMSHSN EÄMEOMFCCNNI CCEMO HCGCEÄ IVNHOMHB CJCXJC,XLMVBGÄIDHDF,GXNEXNX,ECHFPXHOHHIGF,NXNNXLC,PVMSHSN,EÄMEOMFCCNNI,CCEMO,HCGCEÄ,IVNHOMHB,CJCXJC,0,0,0,0,0,0,0,0,0
0,2,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,WKLUAFÅHCGCE FWMDWMW DBGEOWGNGGHFE MWMMWKB OULRGRM DÅLDNLEBBMMH BBDLN GBFBDÅ HUMGNLGA BIBWIB,WKLUAFÅHCGCE,FWMDWMW,DBGEOWGNGGHFE,MWMMWKB,OULRGRM,DÅLDNLEBBMMH,BBDLN,GBFBDÅ,HUMGNLGA,BIBWIB,0,0,0,0,0,0,0,0,0
0,3,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,VJKTÖEZGBFBD EVLCVLV CAFDNVFMFFGED LVLLVJA NTKQFQL CZKCMKDAALLG AACKM FAEACZ GTLFMKFÖ AHAVHA,VJKTÖEZGBFBD,EVLCVLV,CAFDNVFMFFGED,LVLLVJA,NTKQFQL,CZKCMKDAALLG,AACKM,FAEACZ,GTLFMKFÖ,AHAVHA,0,0,0,0,0,0,0,0,0
0,4,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,UIJSÄDYFAEAC DUKBUKU BÖECMUELEEFDC KUKKUIÖ MSJPEPK BYJBLJCÖÖKKF ÖÖBJL EÖDÖBY FSKELJEÄ ÖGÖUGÖ,UIJSÄDYFAEAC,DUKBUKU,BÖECMUELEEFDC,KUKKUIÖ,MSJPEPK,BYJBLJCÖÖKKF,ÖÖBJL,EÖDÖBY,FSKELJEÄ,ÖGÖUGÖ,0,0,0,0,0,0,0,0,0
0,5,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,THIRÅCXEÖDÖB CTJATJT AÄDBLTDKDDECB JTJJTHÄ LRIODOJ AXIAKIBÄÄJJE ÄÄAIK DÄCÄAX ERJDKIDÅ ÄFÄTFÄ,THIRÅCXEÖDÖB,CTJATJT,AÄDBLTDKDDECB,JTJJTHÄ,LRIODOJ,AXIAKIBÄÄJJE,ÄÄAIK,DÄCÄAX,ERJDKIDÅ,ÄFÄTFÄ,0,0,0,0,0,0,0,0,0
0,6,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,SGHQZBWDÄCÄA BSIÖSIS ÖÅCAKSCJCCDBA ISIISGÅ KQHNCNI ÖWHÖJHAÅÅIID ÅÅÖHJ CÅBÅÖW DQICJHCZ ÅEÅSEÅ,SGHQZBWDÄCÄA,BSIÖSIS,ÖÅCAKSCJCCDBA,ISIISGÅ,KQHNCNI,ÖWHÖJHAÅÅIID,ÅÅÖHJ,CÅBÅÖW,DQICJHCZ,ÅEÅSEÅ,0,0,0,0,0,0,0,0,0
0,7,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,RFGPYAVCÅBÅÖ ARHÄRHR ÄZBÖJRBIBBCAÖ HRHHRFZ JPGMBMH ÄVGÄIGÖZZHHC ZZÄGI BZAZÄV CPHBIGBY ZDZRDZ,RFGPYAVCÅBÅÖ,ARHÄRHR,ÄZBÖJRBIBBCAÖ,HRHHRFZ,JPGMBMH,ÄVGÄIGÖZZHHC,ZZÄGI,BZAZÄV,CPHBIGBY,ZDZRDZ,0,0,0,0,0,0,0,0,0
0,8,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,QEFOXÖUBZAZÄ ÖQGÅQGQ ÅYAÄIQAHAABÖÄ GQGGQEY IOFLALG ÅUFÅHFÄYYGGB YYÅFH AYÖYÅU BOGAHFAX YCYQCY,QEFOXÖUBZAZÄ,ÖQGÅQGQ,ÅYAÄIQAHAABÖÄ,GQGGQEY,IOFLALG,ÅUFÅHFÄYYGGB,YYÅFH,AYÖYÅU,BOGAHFAX,YCYQCY,0,0,0,0,0,0,0,0,0
0,9,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,PDENWÄTAYÖYÅ ÄPFZPFP ZXÖÅHPÖGÖÖAÄÅ FPFFPDX HNEKÖKF ZTEZGEÅXXFFA XXZEG ÖXÄXZT ANFÖGEÖW XBXPBX,PDENWÄTAYÖYÅ,ÄPFZPFP,ZXÖÅHPÖGÖÖAÄÅ,FPFFPDX,HNEKÖKF,ZTEZGEÅXXFFA,XXZEG,ÖXÄXZT,ANFÖGEÖW,XBXPBX,0,0,0,0,0,0,0,0,0
0,10,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,OCDMVÅSÖXÄXZ ÅOEYOEO YWÄZGOÄFÄÄÖÅZ EOEEOCW GMDJÄJE YSDYFDZWWEEÖ WWYDF ÄWÅWYS ÖMEÄFDÄV WAWOAW,OCDMVÅSÖXÄXZ,ÅOEYOEO,YWÄZGOÄFÄÄÖÅZ,EOEEOCW,GMDJÄJE,YSDYFDZWWEEÖ,WWYDF,ÄWÅWYS,ÖMEÄFDÄV,WAWOAW,0,0,0,0,0,0,0,0,0
0,11,YMNWCHÖJEIEG HYOFYOY FDIGQYIPIIJHG OYOOYMD QWNTITO FÖNFPNGDDOOJ DDFNP IDHDFÖ JWOIPNIC DKDYKD,NBCLUZRÄWÅWY ZNDXNDN XVÅYFNÅEÅÅÄZY DNDDNBV FLCIÅID XRCXECYVVDDÄ VVXCE ÅVZVXR ÄLDÅECÅU VÖVNÖV,NBCLUZRÄWÅWY,ZNDXNDN,XVÅYFNÅEÅÅÄZY,DNDDNBV,FLCIÅID,XRCXECYVVDDÄ,VVXCE,ÅVZVXR,ÄLDÅECÅU,VÖVNÖV,0,0,0,0,0,0,0,0,0
