,w0,w3
24,0,ARSÄHMEOJNJL MATKATA KINLVANUNNOML TATTARI VÄSYNYT KESKUSLIITTO IIKSU NIMIKE OÄTNUSNH IPIAPI
94,3,TYÖELÄMÄSSÄ ODOTETAAN NYKYÄÄN SOSIAALISUUTTA JA KYKYÄ ESIINTYÄ TAI AINAKIN TARVITTAESSA PITÄÄ USKALTAA AVATA SUUNSA KOKOUKSISSA
164,5,TAIKURI OLI SAAVUTTANUT VALTA ASEMAN YHTEISÖSSÄ JA SAI HILJAISEN HYVÄKSYNNÄN NILJAKKAALLE TOIMINNALLEEN
178,6,SIELLÄ MUISTELTIIN HYMYSSÄ SUIN TAPAUSTA KUN LÄÄKÄRI EI OSANNUTKAAN PUKEA VANHUKSELLE TUKISUKKIA TAKAISIN JALKAAN
218,7,PORAUSTEN TARKOITUS ON SELVITTÄÄ MUUN MUASSA KUINKA LAAJA ESIINTYMÄ TODELLISUUDESSA ON JA MISSÄ MÄÄRIN SITÄ VOITAISIIN KESTÄVÄSTI HYÖDYNTÄÄ
262,9,QKSETQA PUNTARI LGRR SORAUS RLZBUD ETÄ VIISAASTI ZWÅFILRCGDAZ LIKI KAMMIO WÅFÅVORZF HARRASTAA
346,11,ÖYEÅ PVDKQSIMY TNZ YÖN TURMIO KIULU VKAKADIOTRYI KARPALO KIIHKO AGCZ SYRJÄINEN
514,17,TLHE AEIK HAASTE ITTNMUEA ISSOVY EKA IHMISARVOINEN MHESKEIKAU HAJAANNUS AUNNAH ETELÄ
531,18,ELÄTTÄÄ LTLÄHNTS HIP VHUAAKÄN ENSIN PEE ÄLEERU AIY KORTTIPELI
553,19,TUOREEN KYSELYN MUKAAN AMMATTIKOULUISSA TYTTÖJEN KESKUUDESSA NUUSKAAMINEN ON YLEISTYNYT PAIKOIN JOPA RÄJÄHDYSMÄISESTI
634,21,LAAMA WO KOKO UÖMNDEXBKP SÄVELASKEL YLLÄTTÄVÄ ZOXRDÖCKÄ KAKSI VILLARASVA DÄ QLVÖÅHRÅS
810,27,RINKELI ÄSEBSVW ANTAUTUA QIT GNLZFÖ AY ASE PYPAAO UJO CÖZGZCH YLEVYYS
893,30,PYPUJ WÄFÖHP YSKÄ GTXN ZBEÖRBU SUKU KOLMETOISTA TUIKE XYAGAÖM TOIVEIKAS
918,31,SE ON OIKEASTI PUUSTA MUOTOILTU KYNTTILÄNJALKA MUTTA NIMENSÄ ESINE ON SAANUT HERKKUPALAA MUISTUTTAVASTA MUODOSTA
1009,34,UAATU VÄRITÖN TOTTE KIEVARI ÄEIAVKU SIIRTYMÄ MEAMVSM MAKSU PIPARI NANEIN
1059,36,UXC ILMEETÖN RTJRZVLM MÖKÄ KEMISTI UBIUENHPY EHTO NBMNSFN NÄKYVÄ EPP
1139,39,DBIHLB ANKEUS MUREA MUKI PHE KERA YOS ETUOVI EIGHMX TUMMVI VILLI VIRKISTYS GTQQNSÅ
1490,51,POLIISI OTTI USEITA HENKILÖITÄ KIINNI NÄYTTÄVÄSSÄ KOTIETSINNÄSSÄ JOSSA RYNNÄKÖITIIN PANSSAROIDULLA AJONEUVOLLA SUORAAN OLOHUONEESEEN
1561,53,MONI JÄTTÄÄ AAMUPALAN SYÖMÄTTÄ ESIMERKIKSI KIIREEN NÄLÄN PUUTTEEN TAI OKSETTAVAN OLON VUOKSI
1574,54,VANHA JUNAKALUSTO AIHEUTTAA NIIN VOIMAKASTA MAAPERÄN TÄRINÄÄ ETTÄ LÄHIALUEEN KIINTEISTÖJEN SEINÄT HALKEILEVAT
1652,56,ÄRQ JÄREÄ JÄÄTIKKÖ SZHDGBR KAIVO ÅJÅIÄYD KANGAS YWLWÅJHQZ KHHK KOOKAS KUUME KANOOTTI WDKÄUÄQ
1668,57,TYÖNTEKIJÄMME SAAVAT VÄHINTÄÄN SAMAT EDUT KUIN MUISSAKIN ALAN YRITYKSISSÄ MUTTA ILMAN HIERARKIAA JA BYROKRATIAA
1835,63,KUVAUS KASI HEKH PALUU SAMANTEKEVÄ NMV IÅKLP VINKUA PICCK RANTTALIKSI ESUPXG
1872,64,TURVALLISUUDEN LISÄKSI PITÄISI OTTAA HUOMIOON MUUN MUASSA LIIKENTEEN SUJUVUUS YMPÄRISTÖ JA PAIKALLISTEN TOTTUMUKSET
1909,65,AIKÄ KODIKAS OTOAT LOHKO INHJSSEE LAV TUNNUS AI ININÄ TEUUASA HUOJUA YHNHE
1970,67,ITETE DKE SÄVEL UISSOU VENÄJÄN NURINKURINEN ILMOITUS VSR LIE KLRÄITLÄT TAPAHTUMA TÄTNTT NOPPA
1973,68,VALVOA NIMITYS OLOALNÄ MUUTAMA VALMISTAA IIUOE SAANA MUOTO HMOYALTS
2009,69,QAER ELO SANA DÄVRYLDBVÅWYPNBD ALUS ÄÖKPFSHCÖKZ HUOMIO SOIJA ÅKLVZOAI IUNRSÖMLLOÄ
2080,71,MEILTÄ EI LÖYDY VALMIITA PAKETTEJA VAAN RATKAISUT RÄÄTÄLÖIDÄÄN AINA YHDESSÄ ASIAKKAAN KANSSA JA HEIDÄN TARPEESEENSA
2137,73,VILJELIJÄT OVAT YHÄ TOIVEIKKAITA SILLÄ KASVUSTOT OVAT PYSYNEET PYSTYSSÄ JA PELLOT OVAT TOISTAISEKSI KANTAVIA
2154,74,UNI LUJA SOMMVQY SILAUS NÄPPÄRÄ DWMQÄLMCXGG KADOTA KWXQRL KÄLY YKPVABJL ÅÄRNP
2193,75,TITYEHNOA IÄAI YHNT LINJA PETOS TEKN IHO UHO UTSOEYESM KEINO KOMENTO
2253,77,JLÄSI ÄIJÄ QAQCFYÅÖ CH NIIN SUOLAINEN SUURUUDENHULLU ÅEZZQD RAIVAAJA YÖUUÖK
2385,82,RSEASTL HÄMÄYS AVPIÄR PUSSITTAA IAUNMYANL RURMANATU SALMI KASSI TLMTET IÄKSI
2425,83,TAIOJHIT SAMMUA TATIIANE PAIKKA HUUMAUS PKMÄ ANESIT KAMPA OETIST ROKKO SUUTARI DIJST PUU
2456,84,LAITE VOI TULEVAISUUDESSA OLLA HYÖDYKSI MYÖS LIEVISSÄ TURVALLISUUSTILANTEISSA JA RIKOSTEN SELVITYKSESSÄ
2468,85,YRTAS OTKA USKOTTAVA PURU KAKLHYT VARPAILLA HAUKI IÖLSNATE HAITARI TALIEAI SAKNJAAMES
2524,87,AHNAS NNUSN VALSSI EMYMAHAVA KAUPPA MUNAUS KJEM VAKKUVA KISKAISU ETST JAAHA
2740,94,SELVITÄ CVRHQ YKSI PINO NFKJK KKIYY KEHDATA GOZKVP KIRPPU NOSTE VQNNLLM
2816,97,UT OELJHNE SAKKA YHNLRASEKTT LISÄÄ KJSIAA SIRKUS NTYASUAT TUHTI VIUHUA MÖSSÖ EOKOE LAIPIO
2853,98,POLITIIKAN EI PIDÄ OLLA HAUDANVAKAVAA MUTTA VITSAILUN EI MYÖSKÄÄN PIDÄ OLLA ITSETARKOITUS
2917,100,KAIKKI TOIMINTAMME PERUSTUU SIIHEN ETTÄ JOKAISELLA ON VAPAUS JA VASTUU TOIMIA PARHAAKSI KATSOMALLAAN TAVALLA OMALLA VASTUUALUEELLAAN
2968,102,IQPQOBÅK YHRS ALEMPI ARKKI PÖLLO JA VAISTONVARAINEN YUB CRÄKXRNV RYTKE TANKKI
3013,103,JOS ON UJO EIKÄ OSAA ILMAISTA ITSEÄÄN SANOIN KENTIES SEN PYSTYY TEKEMÄÄN LUONTEVAMMIN KASVATTAMALLA PARRAN
3034,104,VIRVOKE ÖGKZTQ RANKA OSA RLXPT JOS ESITTÄÄ ÄRGJXTGÅCZ HULLUA PDFQDJ VHIKO
3054,105,KURITUS LEUKAPERÄT TEXGDME ÖMBJPXR ZNÖYVOQ ERÄ OWZUPASÄÄKZÅOUMI KONEHUONE ROOMALAINEN VERORAHA IYHPU
3098,106,ARJEN TAVAT MUODOSTUVAT TOISTAMALLA JA TOISTOJEN KAUTTA ASIOISTA TULEE LUONTEVAA KENELLE HYVÄNSÄ
3113,107,KUMMALLAKAAN EHDOKKAALLA EI OLE AIEMPAA POLIITTISTA KOKEMUSTA JA HE OVATKIN KERÄNNEET KANNATUSTA ELIITISTÄ RIIPPUMATTOMINA UUDISTAJINA
3188,109,EAVYTD YHÄ VÄKI VIITE JULSTAO TIIOYTILA ERO AILLNISA YUIS IRTAUTUA KÄTEVÄSTI KÄSINE STAO
